eGRID2016 Plant file sequence number,Plant state abbreviation,Plant name,Plant latitude,Plant longitude,Plant primary fuel,Plant capacity factor,Plant nameplate capacity (MW),Plant annual net generation (MWh),Plant annual CO2 equivalent emissions (tons)
SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,CAPFAC,NAMEPCAP,PLNGENAN,PLCO2EQA
1,AK,7-Mile Ridge Wind Project,63.210689,-143.247156,WND,,1.8,,
2,AK,Agrium Kenai Nitrogen Operations,60.6732,-151.3784,NG,,21.6,,
3,AK,Alakanuk,62.6833,-164.6544,DFO,0.0533,2.6,1213,"1,050"
4,AK,Allison Creek Hydro,61.084444,-146.353333,WAT,0.0155,6.5,881,0
5,AK,Ambler,67.08798,-157.856719,DFO,0.1366,1.1,1316,"1,088"
6,AK,Anchorage 1,61.2221,-149.8661,NG,0.0424,121.4,45082,"31,903"
7,AK,Angoon,57.499166,-134.58614,DFO,0.103,1.9,1714,"1,430"
8,AK,Aniak,61.580678,-159.535643,DFO,0.1148,2.6,2614,"2,167"
9,AK,Annex Creek,58.3176,-134.101,WAT,0.7319,4,25644,0
10,AK,Auke Bay,58.3875,-134.6446,DFO,0,36.2,8,244
11,AK,Aurora Energy LLC Chena,64.847743,-147.735063,SUB,0.7002,31.3,191982,"191,349"
12,AK,Barrow,71.292,-156.7786,NG,0.2821,20.3,50162,"44,205"
13,AK,Battery Energy Storage System,64.8167,-147.725,MWH,0,40,-2392,0
14,AK,Beaver Falls,55.37975,-131.470269,WAT,0.9072,5.4,42915,0
15,AK,Beluga,61.1861,-151.0356,NG,0.0257,374.4,84421,"89,981"
16,AK,Bernice Lake,60.6935,-151.3874,NG,0,76.7,12,429
17,AK,Bethel,60.7897,-161.787778,DFO,0.3716,12.6,41020,"33,000"
18,AK,Black Bear Lake,55.476472,-133.14772,WAT,0.5267,4.5,20763,0
19,AK,Blue Lake Hydro,57.0516,-135.2297,WAT,0.3441,22.9,69018,0
20,AK,Bradley Lake,59.77862,-150.94015,WAT,0.39,126,430509,0
21,AK,Brevig Mission,65.331716,-166.479506,DFO,0.0865,1.5,1137,878
22,AK,Centennial,55.121433,-131.560267,DFO,0.1054,3.3,3046,"3,050"
23,AK,Chester Lake,55.116879,-131.545879,WAT,0.5234,1,4585,0
24,AK,Chevak,61.525297,-165.590152,DFO,0.1007,2.8,2471,"1,515"
25,AK,Cooper Lake,60.392331,-149.665603,WAT,0.51,19.4,86666,0
26,AK,Craig (AK),55.47691,-133.14869,DFO,0.0079,6.2,431,465
27,AK,Delta Power,64.028056,-145.719444,DFO,0.0002,23.1,38,298
28,AK,Delta Wind Farm,64.013889,-145.596667,WND,0.2671,1.9,4446,0
29,AK,Dillingham,59.042914,-158.468597,DFO,0.1933,10.7,18122,"14,187"
30,AK,Dutch Harbor,53.892459,-166.538185,DFO,0.206,26,46918,"34,984"
31,AK,Eielson AFB Central Heat & Power Plant,64.67141,-147.075988,SUB,0.2382,33.5,69895,"41,747"
32,AK,Eklutna Generation Station,61.457778,-149.351389,NG,0.5468,171,819046,"417,888"
33,AK,Eklutna Hydro Project,61.475211,-149.15009,WAT,0.1978,44.4,76916,0
34,AK,Elim,64.616558,-162.263717,DFO,0.0912,1.6,1278,948
35,AK,Emmonak,62.777694,-164.531517,DFO,0.1107,4.8,4654,"3,020"
36,AK,ESS Battery,57.799167,-152.404167,MWH,0,3,0,
37,AK,Eva Creek Wind,64.058333,-148.9,WND,0.3427,24.6,73845,0
38,AK,Fairbanks,64.854171,-147.719351,DFO,0.0193,42.2,7133,"12,944"
39,AK,False Island,55.48918,-133.1345,DFO,0.0492,1.6,689,559
40,AK,Fire Island Wind,61.13,-150.243611,WND,0.3553,18,56022,0
41,AK,Flywheel Energy Storage System,57.780114,-152.443783,MWH,0,2,0,
42,AK,Fort Greely Power Plant,63.973572,-145.716581,DFO,0.0012,10.4,108,89
43,AK,Galena Electric Utility,64.74417,-156.8736,DFO,0.0769,8,5390,"4,742"
44,AK,Gambell,63.777058,-171.712439,DFO,0.1148,1.9,1911,"1,143"
45,AK,George M Sullivan Generation Plant 2,61.229713,-149.716744,NG,0.1611,418,589738,"380,840"
46,AK,Glennallen,62.110415,-145.532529,DFO,0.1051,11.3,10403,"8,335"
47,AK,Goat Lake Hydro,59.5357,-135.2123,WAT,0.4839,4,16957,0
48,AK,Gold Creek,58.3107,-134.4174,WAT,0.0541,9.7,4597,9
49,AK,Green Lake,56.986284,-135.12275,WAT,0.2208,18.6,35983,0
50,AK,Gwitchyaa Zhee,66.566287,-145.253052,DFO,0.0486,6,2554,"2,469"
51,AK,Haines,59.235931,-135.446228,DFO,0,7.3,-201,101
52,AK,Healy,63.8542,-148.95,LIG,0.2368,92.8,192475,"300,820"
53,AK,Hiilangaay Hydro,55.216389,-132.603611,WAT,,5,,
